	assembly	CDStype	host_taxid	host_domain	evidence	is_inherited	bp	numcontigs	accession	numCDS	T1_M	T1_E	T1_S	T1_RM	T2_M	T2_E	T2_RM	T3_M	T3_E	T3_RM	orphanMTases	pEndo	pRM	T4	T2G	pT4	pT2G	virus_RM	virus_MTtotal	virus_lineage
0	GCA_000320725	allframes					1193433	10	AFYC01000008;AFYC01000001;AFYC01000007;AFYC01000009;AFYC01000004;AFYC01000006;AFYC01000010;AFYC01000003;AFYC01000005;AFYC01000002	155542	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
1	GCF_000846505	allframes	3663;4081;223347	root	Literature;Literature;Literature	False	1012	1	NC_005359	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Satellites
2	GCA_000838025	allframes	29058	Eukaryota		False	131405	1	AF271059	11999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
3	GCF_000846525	allframes	9544	Eukaryota	Literature, RefSeq	False	4393	1	NC_006261	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ssDNA viruses
4	GCA_000842325	allframes	4081;185793	root	;	True	1363	1	AJ579359	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Satellites
5	GCF_000846545	allframes	1763	Bacteria	UniProt	False	52297	1	NC_001335	2198	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
6	GCA_000845685	allframes	9606	Eukaryota	RefSeq, UniProt	False	159378	1	X83413	14543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
7	GCF_000846565	allframes	8782;9031	Eukaryota	;Literature	False	4682	1	NC_006263	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ssDNA viruses
8	GCA_000848765	allframes	10116;36483	Eukaryota	UniProt;UniProt	False	5176	1	X01457	491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ssDNA viruses
9	GCF_000846585	allframes	9544	Eukaryota	Literature	False	171096	1	NC_006146	8579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
10	GCA_000851125	allframes	4236;63459;200306	Eukaryota	Literature;Literature;Literature	False	12499	4	AF525935;AF525933;AF525936;AF525934	1436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ssRNA viruses
11	GCF_000846625	allframes	1582	Bacteria	RefSeq	False	39166	1	NC_005893	3614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
12	GCA_000854445	allframes	9861;9874;9891;9901;9913;9925;9940;46212;179676;289301	Eukaryota	Literature;Literature;UniProt;Literature;Literature, UniProt;Literature, UniProt;Literature, UniProt;UniProt;Literature;Literature	False	19176	10	Y00421;BTVVP5;BTVS9VP6;X12819;BTVP8NS;BTVS8NS2;Y00422;BTVL2;BTVL3A;X06463	1837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsRNA viruses
13	GCF_000846645	allframes	1280	Bacteria	RefSeq, UniProt	False	148317	1	NC_005880	21757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
14	GCA_000859225	allframes	127520	Eukaryota	RefSeq	True	4553	3	AY615212;AY615211;AY615213	364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsRNA viruses
15	GCF_000846665	allframes	3983	Eukaryota	UniProt	False	5460	2	NC_001933;NC_001932	499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ssDNA viruses
16	GCA_000869385	allframes	51655	Eukaryota		False	134417	1	DQ457003	12199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
17	GCF_000846685	allframes	9606	Eukaryota	RefSeq, UniProt	False	34214	1	NC_001454	2479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
18	GCA_000872585	allframes	662	Bacteria		False	33507	1	AB374228	2681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
19	GCF_000846705	allframes	9544	Eukaryota	Literature	False	34246	1	NC_006144	2085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
20	GCA_000880335	allframes	8255;8267;80720;98923	Eukaryota	Literature;Literature;Literature;Literature	True	4533	2	EU826138;EU826137	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ssRNA viruses
21	GCF_000846725	allframes	571	Bacteria	RefSeq	False	51601	1	NC_005857	3728	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	dsDNA viruses, no RNA stage
22	GCA_000881755	allframes	4577	Eukaryota	Literature, RefSeq	False	12381	1	DQ186554	1028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ssRNA viruses
23	GCF_000846745	allframes	85569	Bacteria	RefSeq	False	41391	1	NC_005841	3470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
24	GCA_000883175	allframes	29058	Eukaryota	Literature	False	132425	1	AP010907	12034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
25	GCF_000846765	allframes				False	388	1	NC_003851	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Satellites
26	GCA_000884815	allframes	7092	Eukaryota	RefSeq	False	126770	1	FJ882854	11554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
27	GCF_000846785	allframes	9134;9135	Eukaryota	UniProt;RefSeq	False	1952	1	NC_003410	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ssDNA viruses
28	GCA_000890455	allframes	3635	Eukaryota	Literature	True	2744	1	GU112081	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ssDNA viruses
29	GCF_000846805	allframes	9606	Eukaryota	Literature, RefSeq, UniProt	False	34125	1	NC_001460	2954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
30	GCA_000897655	allframes	9983	Eukaryota	RefSeq	False	2589	1	JX274036	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unclassified viruses
31	GCF_000846825	allframes	9823	Eukaryota	Literature	False	32621	1	NC_002702	2406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
32	GCA_000898075	allframes	29760	Eukaryota	RefSeq	True	3206	1	JQ901105	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ssDNA viruses
33	GCF_000846845	allframes	3660	Eukaryota	RefSeq	False	667	1	NC_005875	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Satellites
34	GCA_000906615	allframes	5774	Eukaryota	RefSeq	False	1230522	1	JX885207	168305	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
35	GCF_000846865	allframes	68299	Eukaryota	RefSeq	False	2751	1	NC_005321	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ssDNA viruses
36	GCA_000914855	allframes	5755;5757;29195	Eukaryota	Literature;Literature;Literature	True	1244621	1	KF527229	169830	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
37	GCF_000846885	allframes	2271	Archaea	RefSeq	False	20933	1	NC_006556	1921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
38	GCA_000919615	allframes	5757	Eukaryota	RefSeq	False	18338	1	JN603369	2590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
39	GCF_000846905	allframes	203262	Eukaryota	Literature	False	140131	1	NC_006549	9815	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
40	GCA_000920455	allframes	5757	Eukaryota	RefSeq	False	18338	1	JN603370	2590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
41	GCF_000846925	allframes	79879	Bacteria	RefSeq	False	41092	1	NC_006557	4040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
42	GCA_000925975	allframes	214444	Eukaryota	RefSeq	False	7321	1	AB937989	777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ssRNA viruses
43	GCF_000846945	allframes	9913	Eukaryota	Literature	False	5610	1	NC_006259	487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ssDNA viruses
44	GCA_000928975	allframes	9556	Eukaryota	RefSeq	False	5181	1	AB767295	510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
45	GCF_000846965	allframes	9534;9606	Eukaryota	RefSeq;	False	150715	1	NC_006560	2530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
46	GCA_000929915	allframes	562	Bacteria	RefSeq, UniProt	False	6407	1	F1CCG	718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ssDNA viruses
47	GCF_000846985	allframes	666	Bacteria	RefSeq	False	7107	1	NC_006294	675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ssDNA viruses
48	GCA_000989135	allframes					12292	7	LN559124;LN559126;LN559125;LN559120;LN559123;LN559121;LN559122	1014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ssRNA viruses
49	GCF_000847005	allframes	9031	Eukaryota	RefSeq, UniProt	False	148687	1	NC_006623	11239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
50	GCA_001308675	allframes	194	Bacteria		False	172065	5	HM246722;HM246720;HM246721;HM246724;HM246723	25858	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	dsDNA viruses, no RNA stage
51	GCF_000847025	allframes	287	Bacteria	RefSeq, UniProt	False	7349	1	NC_001331	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ssDNA viruses
