	assembly	CDStype	host_taxid	host_domain	evidence	is_inherited	bp	numcontigs	accession	numCDS	T1_M	T1_E	T1_S	T1_RM	T2_M	T2_E	T2_RM	T3_M	T3_E	T3_RM	orphanMTases	pEndo	pRM	T4	T2G	pT4	pT2G	virus_RM	virus_MTtotal	virus_lineage
0	GCA_000320725	allframes					1193433	10	AFYC01000008;AFYC01000001;AFYC01000007;AFYC01000009;AFYC01000004;AFYC01000006;AFYC01000010;AFYC01000003;AFYC01000005;AFYC01000002	155542	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
2	GCA_000838025	allframes	29058	Eukaryota		False	131405	1	AF271059	11999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
5	GCF_000846545	allframes	1763	Bacteria	UniProt	False	52297	1	NC_001335	2198	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
6	GCA_000845685	allframes	9606	Eukaryota	RefSeq, UniProt	False	159378	1	X83413	14543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
9	GCF_000846585	allframes	9544	Eukaryota	Literature	False	171096	1	NC_006146	8579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
11	GCF_000846625	allframes	1582	Bacteria	RefSeq	False	39166	1	NC_005893	3614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
13	GCF_000846645	allframes	1280	Bacteria	RefSeq, UniProt	False	148317	1	NC_005880	21757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
16	GCA_000869385	allframes	51655	Eukaryota		False	134417	1	DQ457003	12199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
17	GCF_000846685	allframes	9606	Eukaryota	RefSeq, UniProt	False	34214	1	NC_001454	2479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
18	GCA_000872585	allframes	662	Bacteria		False	33507	1	AB374228	2681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	dsDNA viruses, no RNA stage
