#orgid	T1_M	T1_E	T1_S	T1_RM	T2_M	T2_E	T2_RM	T3_M	T3_E	T3_RM	orphanMTases	pEndo	pRM	T4	T2G	pT4	pT2G
GCA_000320725	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
GCF_000846505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_000838025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000846525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_000842325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000846545	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GCA_000845685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000846565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_000848765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000846585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_000851125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000846625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_000854445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000846645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_000859225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000846665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_000869385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000846685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_000872585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000846705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_000880335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000846725	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
GCA_000881755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000846745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_000883175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000846765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_000884815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000846785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_000890455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000846805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_000897655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000846825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_000898075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000846845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_000906615	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
GCF_000846865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_000914855	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
GCF_000846885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
