orgid	bp	numcontigs	numCDS	numCDS_allframes	accession	lineage
GCA_002590835	5007	1	4	615	KT264830	root;Viruses;ssDNA viruses;Microviridae;Gokushovirinae;unclassified Gokushovirinae;Gokushovirus WZ-2015a
GCA_002590855	4880	1	4	607	KT264831	root;Viruses;ssDNA viruses;Microviridae;Gokushovirinae;unclassified Gokushovirinae;Gokushovirus WZ-2015a
GCA_002590875	5682	1	3	579	KT264832	root;Viruses;ssDNA viruses;Microviridae;Gokushovirinae;unclassified Gokushovirinae;Gokushovirus WZ-2015a
GCA_002590895	4826	1	3	456	KT264833	root;Viruses;ssDNA viruses;Microviridae;Gokushovirinae;unclassified Gokushovirinae;Gokushovirus WZ-2015a
GCA_002610565	30548	1	39	3899	KX119197	root;Viruses;unclassified bacterial viruses;Helicobacter phage PtB92G
GCA_002590915	4975	1	3	656	KT264834	root;Viruses;ssDNA viruses;Microviridae;Gokushovirinae;unclassified Gokushovirinae;Gokushovirus WZ-2015a
GCA_002590935	4492	1	5	525	KT264835	root;Viruses;ssDNA viruses;Microviridae;Gokushovirinae;unclassified Gokushovirinae;Gokushovirus WZ-2015a
GCA_002628565	50536	1	76	1698	MF541405	root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Siphoviridae;Arquatrovirinae;Likavirus;unclassified Likavirus;Streptomyces phage Celeste
GCA_002590955	4936	1	5	418	KT264757	root;Viruses;ssDNA viruses;Microviridae;Gokushovirinae;unclassified Gokushovirinae;Gokushovirus WZ-2015a
GCA_002590975	4833	1	5	451	KT264767	root;Viruses;ssDNA viruses;Microviridae;Gokushovirinae;unclassified Gokushovirinae;Gokushovirus WZ-2015a
GCA_002590995	4623	1	4	597	KT264783	root;Viruses;ssDNA viruses;Microviridae;Gokushovirinae;unclassified Gokushovirinae;Gokushovirus WZ-2015a
GCA_002610585	26906	1	32	3557	KX119204	root;Viruses;unclassified bacterial viruses;Helicobacter phage Sw577G
GCA_002591015	5477	1	5	366	KT264798	root;Viruses;ssDNA viruses;Microviridae;Gokushovirinae;unclassified Gokushovirinae;Gokushovirus WZ-2015a
